
105第3季 16.43% 10.31% 14.80% 2.69% 3.26% 18.77元
105第4季 19.78% 13.83% 19.79% 0.00% 4.79% 19.87元
106第1季 17.76% 11.75% 17.23% 3.19% 3.78% undefined
106第2季 10.31% 4.95% 8.11% 0.00% 1.11% undefined
106第3季 18.99% 13.18% 24.37% 0.00% 6.04% undefined
107第1季 17.61% 12.19% 18.82% 0% 4.16% 0元
107第2季 17.85% 12.17% 21.48% 2.81% 3.35% 23.94元
107第3季 18.86% 13.87% 18.52% 3.41% 4.06% 24.7元
107第4季 10.61% 5.4% 5.96% 0.93% 1.08% 24.59元
108第1季 0% 0% 0% 0% 0% 0元
108第2季 16.6% 10.71% 18.92% 2.38% 2.76% 26元
108第3季 12.47% 6.31% 12.06% 1.65% 1.91% 26.16元
108第4季 8.2% 1.75% 7.69% 1.06% 1.22% 26.36元
109第1季 3.7% -3.99% 2.06% 0.15% 0.16% 25.42元
